date,speaker,affiliation,title,abstract,paper,slides
17/03/2026,Robert Akerlof,UNSW,Getting the Picture,"Standard economic theory assumes that people have perfect information processing ability: they can derive all logical consequences of information immediately. In reality, however, people struggle to work out the consequences of information. In this paper, we offer a theory of the reasoning process—how people go about “connecting the dots.” In our theory, an agent may have all of the information needed to draw a conclusion yet they still fail to see it. Our key assumption is that agents have limited “working memory.” This constrains the number of pieces of information—“dots”— an agent can think about and connect at once. We explore how agents analyze pieces of information and work their way to a big picture—or, “narrative”—and how narratives, in turn, shape the agent’s view of the parts. We show that limited working memory makes sense of why people struggle with tradeoffs, suffer from choice overload, are influenced by defaults, engage in satisficing, selectively attend to attributes, are subject to primacy effects, and may vacillate between interpretations. We apply the framework to political persuasion, showing how supplying a simple narrative can lock in an interpretation of ambiguous evidence",,
24/03/2026, Murali Agastya, Usyd, Musings on Mediation with Maximum Entropy (and a Little Noise),Abstract,,
31/03/2026,Egor Stark,University of Copenhagen,Strategic Attribute Learning,"A researcher allocates a budget of informative tests across multiple unknown attributes to influence a decision-maker. We derive the researcher's equilibrium learning strategy by solving an auxiliary single-player problem. The attribute weights in this problem depend on how much the researcher and the decision-maker disagree. If the researcher expects an excessive response to new information, she forgoes learning altogether. In an organizational context, we show that a manager favors more diverse analysts as the hierarchical distance grows. In another application, we show how an appropriately opposed advisor can constrain a discriminatory politician, and identify the welfare-inequality Pareto frontier of researchers.",,
7/04/2026,<b> Semester Break</b>,,,,,
21/04/2026,DJ Thorton,UNSW,Controlling Complex Contagions,"Abstract ",,
14/04/2026,Luis Pontes de Vasconcelos,UTS,"Noisy Signals and Information Elicitation","Abstract: This paper analyzes incentive and communication design in complex projects where workers possess private signals about early warning signs of failure. When compensation depends on noisy performance indicators, workers may hide adverse information. We characterize the firm’s optimal contract and communication protocol as functions of signal and assessment precision. Lower-quality private information requires effort distortions and weaker elicitation, reducing efficiency. More precise formal assessments can paradoxically lower profits by crowding out informal information sharing. The results highlight a trade-off between formal monitoring and informal communication in sustaining efficient project management and organizational performance. ",,
28/04/2026,Vladimir Smirnov,USYD,Shopper Share and Price Cycles: A Simple Model of Price Dispersion and Evidence from Algorithmic Pricing,"We study how consumer information shapes price dispersion and price cycles in dynamic oligopoly. We first propose a simple search model with heterogeneous consumer information in which a subset of consumers are partially informed and form backward-looking expectations based on past prices. In this environment, past prices shift firms’ incentives between competing for backward-looking consumers through undercutting and extracting rents from uninformed consumers through price increases, generating threshold-based regime changes. For intermediate values of the previous minimum price, the equilibrium may exhibit split support, and for some parameter values the model admits multiple symmetric equilibria. In a stationary environment, the equilibrium correspondence therefore features both cross-sectional price dispersion and endogenous intertemporal price variation resembling Edgeworth cycles. We then examine price dynamics in a repeated duopoly in which firms use reinforcement-learning algorithms and consumers differ in their propensity to shop across sellers. Varying the shopper share systematically, we find that consumer composition affects not only the level of prices but also the form of dynamic competition. For low shopper shares, firms sustain relatively high prices with limited switching between pricing regimes. Once the shopper share becomes sufficiently large, pricing behaviour changes discretely: average prices become broadly flat, while the market shifts to frequent switching between high-price and low-price phases. As shopper share rises further, cycle frequency, amplitude, regularity, and the relative speed of price declines and recoveries all change systematically, with the post-transition regime better characterised as irregular or stochastic cycling than as clean periodic oscillation. Taken together, the theory and computational results show that stronger consumer search pressure does not simply produce more competitive prices in a static sense. Rather, it changes the style of competition by transforming relatively stable high-price behaviour into recurrent undercutting and restoration, implying that the competitive effects of algorithmic pricing cannot be understood from average prices alone.",,
5/05/2026,Oleksii Birulin,USYD,Delegation Mechanisms: Informational Rents and Institutional Choice,"Often, as in R&D into drug development, a principal has to decide whether to contract separately with multiple specialists or delegate the sequential production process to an integrated agent.  Delegation yields ex post efficiency gains because task scheduling can depend on the agent’s full private information, but it also introduces multidimensional incentive constraints.  To answer this question of institutional choice, we introduce delegated screening mechanisms and obtain a previously elusive representation theorem for payoffs as in Myerson (1981) for multi-dimensional types.  The multi-dimensional extension of familiar virtual types and informational rents now enables a pointwise comparison of informational rents across institutional regimes. Often, it turns out, delegation dominates separate contracting.
",,
12/05/2026,Kate Huang,Monash University,,,,
19/05/2026,Robert Annabel,USyd,,,,
26/05/2026,Seung Han Yoo,Korea University,Optimal Education Design,"This paper studies the optimal design of education. The principal designs an education mechanism by offering an information structure and an educational system for a society. A grand mechanism combining information design and mechanism design can change the beliefs of the firms, while satisfying incentive compatibility for individuals joining the education mechanism. The main result establishes that the optimal education involves a partially informative signal, dominating both the fully informative  signal and the fully uninformative signal. It also shows that an over-investment in human capital and an over-education may stem from a systematic expansion of higher education",,
04/08/2026,Yunjie Shi,Uni of Auckland,Title,Abstract,,
