date,speaker,affiliation,title,abstract,paper,slides
2026-03-10,,,,,,
2026-03-17,Robbie Akerlof,UNSW,Title TBA,"Abstract text goes here",,
2026-03-24,,,,,,
2026-03-31,Egor Stark,University of Copenhagen,Title TBA,"Abstract text goes here",,
2026-04-06,,,,,,
2026-04-14,DJ Thorton,UNSW,Title TBA,"Abstract text goes here",,
2026-04-21,Luis,,,"Abstract text goes here",,
2026-04-28,,,,,,
2026-05-05,Oleksii Birulin,USYD,,,
2026-05-12,Kate Huang,Monash University,,,
2026-05-19,Robert Annabel,Usyd,,,
2026-05-26,,,,,,
